MD (ft),TVD (ft),TVDSD (ft),Offset (ft),Tt (ms),Tv (ms),Ts (ms),Tc (ms),TWT (ms),Vave (ft/s),DZ (ft),DT (ms),Vint (ft/s),Vrms (ft/s)
,,0,,,,,0,0,,,,,
400,400,551,315.3,78.8,60.6,17.2,77.8,155.6,7081.1,551,77.8,7081.1,7081.1
900,900,1051,315.3,121.8,114.8,17.2,132,263.9,7963.7,500,54.2,9231.9,8033.6
1400,1400,1551,315.3,173.1,168.8,17.2,186,372,8339,500,54,9255.9,8407
1900,1900,2051,315.3,227.6,224.5,17.2,241.7,483.4,8486.4,500,55.7,8978.7,8542.1
2400,2400,2551,315.3,290.3,287.8,17.2,305,609.9,8364.7,500,63.3,7899.7,8412.8
2900,2900,3051,315.3,354.5,352.4,17.2,369.6,739.3,8254,500,64.7,7731.8,8297.7
3400,3400,3551,315.3,421.2,419.4,17.2,436.6,873.2,8133.5,500,66.9,7468.7,8176.1
3900,3900,4051,315.3,482,480.4,17.2,497.6,995.3,8140.4,500,61.1,8189.5,8177.7
4400,4400,4551,315.3,540.1,538.7,17.2,555.9,1111.9,8186.1,500,58.3,8575.7,8220.4
4850,4850,5001,315.3,589.6,588.3,17.2,605.5,1211.1,8258.8,450,49.6,9074.8,8293.6
4900,4900,5051,315.3,594.7,593.5,17.2,610.7,1221.4,8271.1,50,5.1,9716.6,8306.7
4950,4950,5101,315.3,599.8,598.6,17.2,615.8,1231.6,8283.2,50,5.1,9717,8319.4
5000,5000,5151,315.3,604.7,603.5,17.2,620.7,1241.4,8298.4,50,4.9,10206.9,8336
5050,5050,5201,315.3,609.7,608.5,17.2,625.7,1251.5,8311.7,50,5,9957.2,8350.3
5100,5100,5251,315.3,614.6,613.4,17.2,630.6,1261.3,8326.4,50,4.9,10208.1,8366.3
5150,5150,5301,315.3,619.6,618.5,17.2,635.7,1271.3,8339.3,50,5,9958.2,8380
5200,5200,5351,315.3,624.6,623.4,17.2,640.6,1281.2,8352.8,50,5,10082.8,8394.5
5250,5250,5401,315.3,629.5,628.4,17.2,645.6,1291.2,8366.1,50,5,10083.1,8408.8
5300,5300,5451,315.3,634.5,633.4,17.2,650.6,1301.2,8378.4,50,5,9960.1,8421.9
5350,5350,5501,315.3,639.3,638.2,17.2,655.4,1310.9,8392.9,50,4.8,10341.9,8437.6
5400,5400,5551,315.3,644.2,643.1,17.2,660.3,1320.7,8406.4,50,4.9,10212,8452.2
5450,5450,5601,315.3,649,648,17.2,665.2,1330.3,8420.5,50,4.8,10343,8467.4
5500,5500,5651,315.3,653.6,652.6,17.2,669.8,1339.5,8437.4,50,4.6,10899.7,8486.5
5550,5550,5701,315.3,658.3,657.3,17.2,674.5,1348.9,8452.6,50,4.7,10614.7,8503.2
5600,5600,5751,315.3,663.1,662,17.2,679.2,1358.5,8466.8,50,4.8,10464.2,8518.5
5650,5650,5801,315.3,667.7,666.6,17.2,683.8,1367.7,8483.1,50,4.6,10889.3,8536.7
5700,5700,5851,315.3,672.3,671.3,17.2,688.5,1377,8498.1,50,4.7,10696.2,8553.2
5750,5750,5901,315.3,676.8,675.8,17.2,693,1386,8514.9,50,4.5,11091.2,8572.1
5800,5800,5951,315.3,681.3,680.3,17.2,697.5,1395,8531.6,50,4.5,11091.9,8590.8
5850,5850,6001,315.3,685.8,684.8,17.2,702,1404.1,8548,50,4.5,11092.4,8609.1
5900,5900,6051,315.3,690.3,689.3,17.2,706.5,1413,8564.6,50,4.5,11166.2,8627.7
5950,5950,6101,315.3,694.8,693.9,17.2,711.1,1422.2,8579.9,50,4.6,10931.1,8644.5
6000,6000,6151,315.3,699.6,698.6,17.2,715.8,1431.6,8593.2,50,4.7,10596.4,8658.8
6050,6050,6201,315.3,704.1,703.2,17.2,720.4,1440.8,8607.8,50,4.6,10893.6,8674.9
6100,6100,6251,315.3,708.7,707.8,17.2,725,1449.9,8622.6,50,4.6,10960.9,8691.1
6150,6150,6301,315.3,713.2,712.3,17.2,729.5,1459,8637.6,50,4.5,11027.2,8707.6
6200,6200,6351,315.3,717.8,716.9,17.2,734.1,1468.1,8651.8,50,4.6,10926.8,8723.2
6250,6250,6401,315.3,722.4,721.5,17.2,738.7,1477.3,8665.6,50,4.6,10864,8738.1
6300,6300,6451,315.3,726.9,726,17.2,743.2,1486.3,8680.4,50,4.5,11096.9,8754.4
6350,6350,6501,315.3,731.4,730.5,17.2,747.7,1495.3,8695,50,4.5,11118.5,8770.5
6400,6400,6551,315.3,735.9,735,17.2,752.2,1504.5,8708.6,50,4.6,10935.5,8785.3
6450,6450,6601,315.3,740.5,739.6,17.2,756.8,1513.6,8722.1,50,4.6,10935.3,8799.8
6500,6500,6651,315.3,745.1,744.2,17.2,761.4,1522.9,8734.7,50,4.6,10802.1,8813.4
6550,6550,6701,315.3,749.6,748.7,17.2,765.9,1531.9,8748.6,50,4.5,11098.8,8828.5
6600,6600,6751,315.3,754.2,753.3,17.2,770.5,1541.1,8761.4,50,4.6,10898.4,8842.3
6650,6650,6801,315.3,758.8,757.9,17.2,775.1,1550.2,8774.1,50,4.6,10898.4,8855.9
6700,6700,6851,315.3,763.3,762.5,17.2,779.7,1559.3,8787,50,4.5,10990.8,8869.8
6750,6750,6901,315.3,767.9,767.1,17.2,784.3,1568.6,8799,50,4.6,10809.2,8882.5
6800,6800,6951,315.3,772.5,771.7,17.2,788.9,1577.8,8811.2,50,4.6,10900,8895.6
6850,6850,7001,315.3,777,776.2,17.2,793.4,1586.8,8824.2,50,4.5,11109.9,8909.7
6900,6900,7051,315.3,781.6,780.8,17.2,798,1595.9,8836.3,50,4.6,10938.6,8922.6
6950,6950,7101,315.3,786.1,785.3,17.2,802.5,1605.1,8848.3,50,4.6,10939,8935.4
7000,7000,7151,315.3,790.7,789.9,17.2,807.1,1614.2,8860.1,50,4.6,10939.3,8948
7050,7050,7201,315.3,795.3,794.5,17.2,811.7,1623.3,8871.8,50,4.6,10939.3,8960.4
7100,7100,7251,315.3,799.8,799,17.2,816.2,1632.5,8883.4,50,4.6,10937.6,8972.7
7150,7150,7301,315.3,804.2,803.5,17.2,820.7,1641.3,8896.5,50,4.4,11322.2,8987
7200,7200,7351,315.3,808.7,808,17.2,825.2,1650.3,8908.5,50,4.5,11093.1,8999.9
7250,7250,7401,315.3,813.2,812.4,17.2,829.6,1659.2,8921.1,50,4.4,11260.5,9013.5
7300,7300,7451,315.3,817.6,816.8,17.2,834,1668,8934,50,4.4,11365.1,9027.5
7350,7350,7501,315.3,821.9,821.1,17.2,838.3,1676.6,8947.7,50,4.3,11593.4,9042.5
7400,7400,7551,315.3,826.2,825.5,17.2,842.7,1685.4,8960.7,50,4.4,11467.7,9056.8
7450,7450,7601,315.3,830.5,829.8,17.2,847,1694,8973.9,50,4.3,11530.3,9071.1
7500,7500,7651,315.3,834.9,834.2,17.2,851.4,1702.8,8986.1,50,4.4,11337.2,9084.3
7550,7550,7701,315.3,839.3,838.6,17.2,855.8,1711.5,8998.9,50,4.3,11507.2,9098.3
7600,7600,7751,315.3,843.6,842.9,17.2,860.1,1720.2,9011.7,50,4.3,11531.2,9112.2
7650,7650,7801,315.3,847.8,847.1,17.2,864.3,1728.5,9026.1,50,4.2,11991.4,9128.2
7700,7700,7851,315.3,851.9,851.2,17.2,868.4,1736.9,9040.3,50,4.2,11992.1,9144.1
7750,7750,7901,315.3,856.2,855.5,17.2,872.7,1745.4,9053.6,50,4.3,11757.5,9158.7
7800,7800,7951,315.3,860.4,859.7,17.2,876.9,1753.9,9066.9,50,4.2,11810.3,9173.3
7850,7850,8001,315.3,864.6,863.9,17.2,881.1,1762.2,9080.5,50,4.2,11938.7,9188.4
7900,7900,8051,315.3,868.9,868.3,17.2,885.5,1770.9,9092.5,50,4.3,11532.6,9201.4
7950,7950,8101,315.3,873.2,872.5,17.2,889.7,1779.4,9105.3,50,4.3,11758.5,9215.3
8000,8000,8151,315.3,877.4,876.8,17.2,894,1787.9,9117.9,50,4.3,11759,9229
8050,8050,8201,315.3,881.8,881.2,17.2,898.4,1796.7,9128.9,50,4.4,11377.9,9240.8
8100,8100,8251,315.3,886,885.3,17.2,902.5,1805.1,9141.9,50,4.2,11925.6,9255
8150,8150,8301,315.3,890.1,889.4,17.2,906.6,1813.3,9155.9,50,4.1,12237.9,9270.6
8200,8200,8351,315.3,894,893.4,17.2,910.6,1821.2,9170.9,50,4,12614.8,9287.8
8250,8250,8401,315.3,898,897.4,17.2,914.6,1829.2,9185.5,50,4,12492.9,9304.2
8300,8300,8451,315.3,902.1,901.5,17.2,918.7,1837.4,9199.1,50,4.1,12254.2,9319.4
8350,8350,8501,315.3,906.2,905.6,17.2,922.8,1845.5,9212.6,50,4.1,12253.7,9334.4
8400,8400,8551,315.3,910.3,909.7,17.2,926.9,1853.8,9225.5,50,4.1,12095.7,9348.5
8450,8450,8601,315.3,914.4,913.8,17.2,931,1862,9238.5,50,4.1,12180.5,9362.9
8500,8500,8651,315.3,918.6,918,17.2,935.2,1870.3,9250.9,50,4.2,12023.7,9376.4
8550,8550,8701,315.3,923.1,922.5,17.2,939.7,1879.4,9259.3,50,4.5,10989.5,9384.9
8600,8600,8751,315.3,927.7,927.1,17.2,944.3,1888.5,9267.6,50,4.6,10981.1,9393.2
8650,8650,8801,315.3,932.1,931.5,17.2,948.7,1897.4,9276.7,50,4.5,11191.1,9402.5
8700,8700,8851,315.3,937,936.4,17.2,953.6,1907.3,9281.4,50,4.9,10191.7,9406.7
8750,8750,8901,315.3,941.6,941,17.2,958.2,1916.3,9289.6,50,4.5,11006.2,9414.9
8800,8800,8951,315.3,946.3,945.7,17.2,962.9,1925.9,9295.6,50,4.8,10506.8,9420.6
8850,8850,9001,315.3,951.2,950.6,17.2,967.8,1935.7,9300.1,50,4.9,10198.5,9424.8
8900,8900,9051,315.3,956.3,955.8,17.2,973,1945.9,9302.6,50,5.1,9768.2,9426.6
8950,8950,9101,315.3,961.5,960.9,17.2,978.1,1956.1,9305,50,5.1,9768.5,9428.4
9000,9000,9151,315.3,966.9,966.3,17.2,983.5,1967,9304.7,50,5.4,9247.8,9427.4
9050,9050,9201,315.3,972,971.4,17.2,988.6,1977.2,9307.1,50,5.1,9768.3,9429.2
9100,9100,9251,315.3,977.4,976.8,17.2,994,1988,9306.8,50,5.4,9248,9428.2
9150,9150,9301,315.3,982.6,982.1,17.2,999.3,1998.5,9307.8,50,5.3,9501.3,9428.6
9200,9200,9351,315.3,987.9,987.3,17.2,1004.5,2009,9309.2,50,5.2,9581.4,9429.4
9250,9250,9401,315.3,993.1,992.5,17.2,1009.7,2019.5,9310.3,50,5.3,9516.5,9429.9
9300,9300,9451,315.3,998.4,997.9,17.2,1015.1,2030.1,9310.7,50,5.3,9376.7,9429.6
9350,9350,9501,315.3,1003.7,1003.1,17.2,1020.3,2040.6,9311.7,50,5.3,9517.8,9430.1
9400,9400,9551,315.3,1008.8,1008.2,17.2,1025.4,2050.9,9314.1,50,5.1,9784.5,9431.9
9450,9450,9601,315.3,1014,1013.5,17.2,1030.7,2061.4,9315.2,50,5.2,9538.6,9432.4
9500,9500,9651,315.3,1019.4,1018.8,17.2,1036,2072,9315.6,50,5.3,9377.6,9432.1
9550,9550,9701,315.3,1024.6,1024.1,17.2,1041.3,2082.5,9316.6,50,5.3,9516.7,9432.6
9600,9600,9751,315.3,1029.9,1029.4,17.2,1046.6,2093.2,9316.9,50,5.3,9377.6,9432.3
9650,9650,9801,315.3,1035.2,1034.6,17.2,1051.8,2103.6,9318.2,50,5.2,9573.6,9433
9700,9700,9851,315.3,1040.3,1039.8,17.2,1057,2114,9319.7,50,5.2,9632.3,9434
9750,9750,9901,315.3,1045.6,1045.1,17.2,1062.3,2124.6,9320.5,50,5.3,9487.9,9434.2
9800,9800,9951,315.3,1050.9,1050.3,17.2,1067.5,2135.1,9321.5,50,5.3,9517.4,9434.7
9850,9850,10001,315.3,1056.3,1055.7,17.2,1072.9,2145.9,9321.1,50,5.4,9242.8,9433.7
9900,9900,10051,315.3,1061.6,1061.1,17.2,1078.3,2156.5,9321.4,50,5.3,9379.5,9433.4
9950,9950,10101,315.3,1066.9,1066.3,17.2,1083.5,2167.1,9322.3,50,5.3,9502.7,9433.8
10000,10000,10151,315.3,1072.3,1071.8,17.2,1089,2178,9321.3,50,5.5,9126.8,9432.2
10050,10050,10201,315.3,1077.7,1077.1,17.2,1094.3,2188.7,9321.6,50,5.3,9374.2,9432
10100,10100,10251,315.3,1082.9,1082.4,17.2,1099.6,2199.2,9322.5,50,5.3,9514.1,9432.4
10150,10150,10301,315.3,1088.3,1087.7,17.2,1104.9,2209.9,9322.7,50,5.3,9362.1,9432
10200,10200,10351,315.3,1093.4,1092.9,17.2,1110.1,2220.3,9324.1,50,5.2,9635,9433
10250,10250,10401,315.3,1098.7,1098.2,17.2,1115.4,2230.8,9325,50,5.3,9501.2,9433.3
10300,10300,10451,315.3,1103.6,1103.1,17.2,1120.3,2240.6,9328.8,50,4.9,10200.4,9436.8
10350,10350,10501,315.3,1108.5,1108,17.2,1125.2,2250.3,9332.9,50,4.9,10272.1,9440.6
10400,10400,10551,315.3,1113.2,1112.7,17.2,1129.9,2259.9,9337.6,50,4.8,10452.1,9445.1
